year,category,prizeShare,fullName,gender,born,bornCountry,bornCity,age_received,organizationName,organizationCountry,organizationCity,,
2008,economics,1,Paul Krugman,male,1953,USA,New York NY,55,Princeton University,USA,Princeton NJ,,
2008,peace,1,Martti Ahtisaari,male,1937,Finland,Vyborg,71,,,,,
2008,literature,1,Jean Marie Gustave Le Clezio,male,1940,France,Nice,68,,,,,
2008,chemistry,3,Roger Y. Tsien,male,1952,USA,New York NY,56,University of California,USA,San Diego CA,,
2008,chemistry,3,Martin Chalfie,male,1947,USA,Chicago IL,61,Columbia University,USA,New York NY,,
2008,chemistry,3,Osamu Shimomura,male,1928,Japan,Kyoto,80,Marine Biological Laboratory (MBL),USA,Woods Hole MA,,
2008,physics,4,Toshihide Maskawa,male,1940,Japan,Nagoya,68,Kyoto Sangyo University,Japan,Kyoto,,
2008,physics,4,Makoto Kobayashi,male,1944,Japan,Nagoya,64,High Energy Accelerator Research Organization (KEK),Japan,Tsukuba,,
2008,physics,2,Yoichiro Nambu,male,1921,Japan,Tokyo,87,Enrico Fermi Institute University of Chicago,USA,Chicago IL,,
2008,medicine,4,Luc Montagnier,male,1932,France,Chabris,76,World Foundation for AIDS Research and Prevention,France,Paris,,
2008,medicine,4,Franoise Barr-Sinoussi,female,1947,France,Paris,61,Regulation of Retroviral Infections Unit Virology Department Institut Pasteur,France,Paris,,
2008,medicine,2,Harald zur Hausen,male,1936,Germany,Gelsenkirchen,72,German Cancer Research Center,Germany,Heidelberg,,
2007,physics,2,Peter Grnberg,male,1939,Czech Republic,Plzen,68,Forschungszentrum Julich,Germany,Julich,,
2007,physics,2,Albert Fert,male,1938,France,Carcassonne,69,Paris-Sud University,France,Orsay,,
2007,economics,3,Roger B. Myerson,male,1951,USA,Boston MA,56,University of Chicago,USA,Chicago IL,,
2007,economics,3,Eric S. Maskin,male,1950,USA,New York NY,57,Institute for Advanced Study,USA,Princeton NJ,,
2007,economics,3,Leonid Hurwicz,male,1917,Russia,Moscow,90,University of Minnesota,USA,Minneapolis MN,,
2007,peace,2,Al Gore,male,1948,USA,Washington D.C.,59,,,,,
2007,peace,2,Intergovernmental Panel on Climate Change ,organisation,1988,,,19,,,,,
2007,literature,1,Doris Lessing,female,1919,Iran,Kermanshah,88,,,,,
2007,chemistry,1,Gerhard Ertl,male,1936,Germany,Bad Cannstatt,71,Fritz-Haber-Institut der Max-Planck-Gesellschaft,Germany,Berlin,,
2007,medicine,3,Oliver Smithies,male,1925,United Kingdom,Halifax,82,University of North Carolina,USA,Chapel Hill NC,,
2007,medicine,3,Sir Martin J. Evans,male,1941,United Kingdom,Stroud,66,Cardiff University,United Kingdom,Cardiff,,
2007,medicine,3,Mario R. Capecchi,male,1937,Italy,Verona,70,University of Utah,USA,Salt Lake City UT,,
2006,peace,2,Grameen Bank ,organisation,1983,,,23,,,,,
2006,peace,2,Muhammad Yunus,male,1940,Bangladesh,Chittagong,66,,,,,
2006,literature,1,Orhan Pamuk,male,1952,Turkey,Istanbul,54,,,,,
2006,economics,1,Edmund S. Phelps,male,1933,USA,Evanston IL,73,Columbia University,USA,New York NY,,
2006,chemistry,1,Roger D. Kornberg,male,1947,USA,St. Louis MO,59,Stanford University,USA,Stanford CA,,
2006,physics,2,George F. Smoot,male,1945,USA,Yukon FL,61,University of California,USA,Berkeley CA,,
2006,physics,2,John C. Mather,male,1946,USA,Roanoke VA,60,NASA Goddard Space Flight Center,USA,Greenbelt MD,,
